Subsector,Edgar_Class,simulation,Edgar_value,_merge,diff,Year
agrc,AG - Crops:CH4,0.5007970760059265,0.000226641,both,2208.6490749949326,2015
agrc,AG - Crops:CO2,0.5627221513178294,0.09585713,both,4.870425614848154,2015
agrc,AG - Crops:N2O,1.1435661272728148,1.038055189,both,0.1016428985576939,2015
entc,EN - Electricity/Heat:CH4,0.3044656283810216,0.004395555,both,68.26670884132302,2015
entc,EN - Electricity/Heat:CO2,2.8938081972878806,3.297328035,both,-0.12237782635785566,2015
entc,EN - Electricity/Heat:N2O,0.03097781535641497,0.011222465,both,1.7603396719361541,2015
fgtv,EN - Fugitive Emissions:CH4,0.1242109870295032,1.046726716,both,-0.8813338905648959,2015
fgtv,EN - Fugitive Emissions:CO2,0.0849627117569398,1.392714613,both,-0.9389948874206723,2015
fgtv,EN - Fugitive Emissions:N2O,2.6344006988951935e-05,0.001680058,both,-0.9843195848066246,2015
frst,LULUCF - Forest Land:CH4,0.0596739362743645,,left_only,,2015
frst,LULUCF - Forest Land:CO2,1.9933827173758987,-6.547103826,both,-1.3044678640133571,2015
inen,EN - Manufacturing/Construction:CH4,0.0050941744954622085,0.003652548,both,0.3946906366356332,2015
inen,EN - Manufacturing/Construction:CO2,2.592390045067677,2.148484414,both,0.20661338205438676,2015
inen,EN - Manufacturing/Construction:N2O,0.002984067141134751,0.005203161,both,-0.42648956256884024,2015
ippu,IN - Industrial Processes:CH4,0.0472979922717687,0.001673081,both,27.269995458539483,2015
ippu,IN - Industrial Processes:CO2,14.275434434607837,2.415890528,both,4.908974048764446,2015
ippu,IN - Industrial Processes:HFC,1.6647389435288509,0.514149197,both,2.237851878875639,2015
ippu,IN - Industrial Processes:N2O,2.694807793976808,0.946128602,both,1.848246832703624,2015
ippu,IN - Industrial Processes:PFC,0.0,0.0,both,,2015
ippu,IN - Industrial Processes:SF6,0.0,0.005375954,both,-1.0,2015
lndu,LULUCF - Deforestation:CH4,0.2577529549756367,,left_only,,2015
lndu,LULUCF - Deforestation:CO2,0.13924638856568183,0.060839526,both,1.2887487414954848,2015
lsmm,AG - Livestock:CH4,0.28372893736037974,1.682915592,both,-0.8314063172810751,2015
lsmm,AG - Livestock:N2O,0.2521975293981162,0.110192626,both,1.2886969714118273,2015
lvst,AG - Livestock:CH4,0.9949669191647061,1.682915592,both,-0.4087838249913213,2015
scoe,EN - Building:CH4,0.0090930340571722,0.416708461,both,-0.9781789070580638,2015
scoe,EN - Building:CO2,4.425061209936379,2.726867007,both,0.6227638526473905,2015
scoe,EN - Building:N2O,0.0041770304195368,0.104121602,both,-0.9598831525898266,2015
soil,LULUCF - Organic Soil:CO2,0.0093457041783653,0.092259474,both,-0.8987019568487318,2015
soil,LULUCF - Organic Soil:N2O,8.939158120063398,,left_only,,2015
trns,EN - Transportation:CH4,0.009704122715379442,0.013863209,both,-0.300008914575302,2015
trns,EN - Transportation:CO2,2.0627507177533277,5.885325138,both,-0.6495094715439444,2015
trns,EN - Transportation:N2O,0.0687494475287365,0.058990353,both,0.1654354319381086,2015
trww,Waste - Wastewater Treatment:CH4,0.4030968516222908,0.441746003,both,-0.08749179645143092,2015
trww,Waste - Wastewater Treatment:N2O,0.32141951284629966,0.061427249,both,4.232523319517363,2015
waso,Waste - Solid Waste:CH4,0.6607857161442997,1.255624377,both,-0.47373933777625304,2015
waso,Waste - Solid Waste:CO2,0.5686152231084804,3.08606e-05,both,18424.280879454076,2015
waso,Waste - Solid Waste:N2O,0.018531501458528398,0.003034266,both,5.107408334842232,2015
