Subsector,simulation,Edgar_value,diff,Year
agrc,1.7785607699567993,1.13413896,0.5682035735345864,2015
entc,6.886826561611618,3.312946055,1.0787620586872544,2015
fgtv,0.8135935633587907,2.441121387,-0.6667131885814777,2015
frst,-1.12052259461516,-6.547103826,-0.828852172747694,2015
inen,4.069752730549331,2.1573401229999996,0.8864678254302933,2015
ippu,11.167587620340276,3.8832173619999995,1.875859520412877,2015
lndu,0.6854093059201447,0.060839526,10.265855455878219,2015
lsmm,0.20625478777283762,1.793108218,-0.884973597409034,2015
lvst,1.938987803925,1.682915592,0.15215986656863764,2015
scoe,7.547604399871569,3.24769707,1.3239865779327655,2015
soil,1.14210672973435,0.092259474,11.379289412969664,2015
trns,2.836912017592939,5.9581787,-0.5238625492060286,2015
trww,0.6652863949823666,0.503173252,0.32218155940921656,2015
waso,1.300747367357886,1.2586895035999999,0.03341401007762096,2015
